address,area,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year,property_type,property_feature,lat,lng
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54.0,Tây Nam,Tây Nam,2.0,2.0,3.0,Have certificate,Full,5.35,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.8421452,106.6598206
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92.0,Đông Nam,Đông Nam,2.0,4.0,4.0,Have certificate,Full,6.9,2024,Unknown,Unknown,10.83861991,106.649884
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30.0,Đông Nam,,2.0,2.0,2.0,Have certificate,Full,3.79,2024,Unknown,Unknown,10.84846286,106.6486143
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46.0,Đông Nam,Đông Nam,4.0,4.0,5.0,Have certificate,Full,7.99,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.8419062,106.6436303
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60.0,Đông Nam,Đông,2.0,6.0,5.0,Have certificate,Full,5.6,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.79158842,106.7142029
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55.0,,,2.0,4.0,,Have certificate,Basic,3.25,2024,"Nhà mặt phố, mặt tiền",Unknown,10.807206,106.687076
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,,,5.0,4.0,6.0,Have certificate,Basic,9.5,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.84899823,106.6519097
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28.0,,,2.0,2.0,2.0,Have certificate,Full,3.88,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.84961462,106.6584168
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68.0,Đông Bắc,,3.0,4.0,6.0,Have certificate,,6.5,2024,Unknown,Unknown,10.84180269,106.7105467
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43.0,Đông Nam,,3.0,3.0,3.0,Have certificate,Full,5.85,2024,"Nhà ngõ, hẻm",Hẻm nhỏ,10.84899823,106.6519097
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46.0,Đông Bắc,Đông Bắc,,1.0,1.0,Sale contract,Basic,4.3,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.8364014,106.8443424
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45.0,Bắc,Bắc,3.0,3.0,4.0,Have certificate,,5.95,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.81096324,106.6937957
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,,,4.0,4.0,5.0,,,9.5,2024,Unknown,Unknown,10.8670973,106.7411266
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38.0,,,2.0,1.0,1.0,,,4.1,2024,Unknown,Unknown,10.82036061,106.705725
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40.0,Tây Nam,Tây Nam,4.0,3.0,4.0,Have certificate,,7.7,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.80116665,106.6892644
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113.0,,,,,,Have certificate,,6.2,2024,Unknown,Unknown,10.84513368,106.6139436
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,Đông Bắc,Đông Bắc,3.0,3.0,4.0,Have certificate,Full,10.0,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.81232806,106.6864527
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100.0,Đông Nam,,3.0,5.0,3.0,,,8.1,2024,"Nhà mặt phố, mặt tiền",Unknown,10.798793,106.8227688
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30.0,,,3.0,,,Have certificate,Full,7.15,2024,"Nhà ngõ, hẻm",Hẻm xe hơi,10.7921649,106.6777639
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64.0,,,3.0,4.0,3.0,Have certificate,,4.7,2024,"Nhà mặt phố, mặt tiền",Unknown,10.884096,106.639663
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156.0,,,2.0,,,Sale contract,,7.8,2024,Unknown,Unknown,10.7075371,106.6229414
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,Bắc,Bắc,3.0,4.0,5.0,Have certificate,Basic,6.5,2024,"Nhà mặt phố, mặt tiền",Hẻm xe hơi,10.807153,106.8212989
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",74.02,,,3.0,,,Have certificate,Full,2.38,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.7918365,106.6620712
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56.0,Bắc,,,,,,,2.7,2024,"Nhà mặt phố, mặt tiền",Hẻm nhỏ,10.8107586,106.5822398
