address,area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year
"Đường Nguyễn Văn Khối, Phường 11, Gò Vấp, Hồ Chí Minh",54,,3.5,Tây Nam,Tây Nam,2,2,3,Have certificate,Full,5.35,2024
"Đường Quang Trung, Phường 8, Gò Vấp, Hồ Chí Minh",92,,,Đông Nam,Đông Nam,2,4,4,Have certificate,Full,6.9,2024
"Đường Phạm Văn Chiêu, Phường 14, Gò Vấp, Hồ Chí Minh",30,,,Đông Nam,,2,2,2,Have certificate,Full,3.79,2024
"Đường Quang Trung, Phường 12, Gò Vấp, Hồ Chí Minh",46,4.6,6,Đông Nam,Đông Nam,4,4,5,Have certificate,Full,7.99,2024
"Đường Ngô Tất Tố, Phường 22, Bình Thạnh, Hồ Chí Minh",60,3.5,5,Đông Nam,Đông,2,6,5,Have certificate,Full,5.6,2024
"Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",55,5,,,,2,4,,Have certificate,Basic,3.25,2024
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",67.4,4,8,,,5,4,6,Have certificate,Basic,9.5,2024
"Đường Số 4, Phường 16, Gò Vấp, Hồ Chí Minh",28,,3,,,2,2,2,Have certificate,Full,3.88,2024
"Đường 12, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",68,,,Đông Bắc,,3,4,6,Have certificate,,6.5,2024
"Đường Phạm Văn Chiêu, Phường 9, Gò Vấp, Hồ Chí Minh",43,,4,Đông Nam,,3,3,3,Have certificate,Full,5.85,2024
"Dự án The Beverly - Vinhomes Grand Park, Đường 108, Phường Long Thạnh Mỹ, Quận 9, Hồ Chí Minh",46,,30,Đông Bắc,Đông Bắc,,1,1,Sale contract,Basic,4.3,2024
"Đường Tăng Bạt Hổ, Phường 11, Bình Thạnh, Hồ Chí Minh",45,5,6,Bắc,Bắc,3,3,4,Have certificate,,5.95,2024
"Dự án Vạn Xuân Tam Bình, Đường 7, Phường Tam Bình, Thủ Đức, Hồ Chí Minh",143.9,,,,,4,4,5,,,9.5,2024
"Hẻm 482/9, Đường Nơ Trang Long, Phường 13, Bình Thạnh, Hồ Chí Minh",38,,,,,2,1,1,,,4.1,2024
"Đường Nhiêu Tứ, Phường 7, Phú Nhuận, Hồ Chí Minh",40,4.1,6,Tây Nam,Tây Nam,4,3,4,Have certificate,,7.7,2024
"Đường Quốc Lộ 22, Phường Trung Mỹ Tây, Quận 12, Hồ Chí Minh",113,,,,,,,,Have certificate,,6.2,2024
"Đường Nguyễn Trung Trực, Phường 5, Bình Thạnh, Hồ Chí Minh",69.1,4,4.5,Đông Bắc,Đông Bắc,3,3,4,Have certificate,Full,10,2024
"Dự án Centana City Điền Phúc Thành, Phường Long Trường, Quận 9, Hồ Chí Minh",100,5,,Đông Nam,,3,5,3,,,8.1,2024
"Đường Huỳnh Văn Bánh, Phường 12, Phú Nhuận, Hồ Chí Minh",30,,6,,,3,,,Have certificate,Full,7.15,2024
"240/, Đường Hiệp Thành 13, Phường Hiệp Thành, Quận 12, Hồ Chí Minh",64,4,,,,3,4,3,Have certificate,,4.7,2024
"Dự án Dream Home Palace, Đường Trịnh Quang Nghị, Phường 7, Quận 8, Hồ Chí Minh",156,,,,,2,,,Sale contract,,7.8,2024
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100,20,12,Bắc,Bắc,3,4,5,Have certificate,Basic,6.5,2024
"Đường Phạm Văn Hai, Phường 3, Tân Bình, Hồ Chí Minh giá 2tỷ380",74.02,5.3,5,,,3,,,Have certificate,Full,2.38,2024
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56,5,5,Bắc,,,,,,,2.7,2024
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58,,,,,,,,Sale contract,Basic,4.61,2024
