address,area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,year
"Đường số 11, Phường Bình Hưng Hòa, TP Hồ Chí Minh",102,,,,,3,5,5,Have certificate,Other,11.7,2026
"Đường Nguyễn Văn Công, Phường Hạnh Thông, TP Hồ Chí Minh",21,,,Đông Bắc,,3,3,3,Have certificate,Full,3.89,2026
"Đường Xuân Thới Thượng 27, Xã Bà Điểm, TP Hồ Chí Minh",115,,,,,,1,1,,,3.8,2026
"Đường Đoàn Văn Bơ, Phường Khánh Hội, TP Hồ Chí Minh",26,,,Tây Nam,,4,2,3,Have certificate,Full,4.8,2026
"Phú Thọ Hoa, Phường Phú Thọ Hòa, TP Hồ Chí Minh",67,,,,,4,4,,Have certificate,Full,7.5,2026
"Đường Trần Văn Ơn, Phường Tân Sơn Nhì, TP Hồ Chí Minh",46,,,,,3,3,3,Have certificate,,5.2,2026
"Đường Nguyễn Bình, Xã Nhà Bè, TP Hồ Chí Minh",75,,,,,2,3,2,Have certificate,Basic,2.49,2026
"Đường Tô Vĩnh Diện, Phường Thủ Đức, TP Hồ Chí Minh",325,,,,,2,5,,Have certificate,Full,42,2026
"88, Phường Phú Thuận, TP Hồ Chí Minh",14,,,Nam,,1,1,1,Shared certificate,Basic,890,2026
"Đường Chiến Lược, Phường Bình Trị Đông, TP Hồ Chí Minh",30.5,,,Tây,,1,2,2,Have certificate,Basic,3.65,2026
"Đường Nguyễn Đình Chiểu, Phường Bàn Cờ, TP Hồ Chí Minh",46,,,,,,4,,,,9,2026
"Đường Tên Lửa, Phường An Lạc, TP Hồ Chí Minh",170,,,,,,10,,Have certificate,,22.5,2026
"Đường Quang Trung, Phường Thông Tây Hội, TP Hồ Chí Minh",69,,,Tây Bắc,,4,10,6,Have certificate,Full,7.5,2026
"Đường Nguyễn Văn Đậu, Phường Bình Lợi Trung, TP Hồ Chí Minh",69,,,,,2,2,3,Have certificate,Other,8.95,2026
"Đường số 13, Phường Tân Hưng, TP Hồ Chí Minh",30.36,,,,,,2,,Have certificate,,6.5,2026
"Đường Lâm Thị Hố, Phường Trung Mỹ Tây, TP Hồ Chí Minh",72,,,,,,4,5,Have certificate,Other,9.1,2026
"Đường Tân Hương, Phường Tân Sơn Nhì, TP Hồ Chí Minh",74,,,,,4,4,4,Have certificate,Other,9,2026
