iter	RMSE
0	0.4118627153
1	0.4012559604
2	0.3913425238
3	0.3818230456
4	0.3725861465
5	0.3645208396
6	0.3568353471
7	0.3493100149
8	0.3426451967
9	0.3361290351
10	0.33007276
11	0.3243734177
12	0.3186502831
13	0.3134350983
14	0.3084585572
15	0.3038671585
16	0.2996301477
17	0.2954811924
18	0.2916091647
19	0.2880769946
20	0.2845113358
21	0.2812441058
22	0.2777548893
23	0.2749164255
24	0.2722511109
25	0.2698358389
26	0.2670471054
27	0.2647007326
28	0.2624079516
29	0.2601488187
30	0.2581280851
31	0.2562190759
32	0.2544068415
33	0.252326426
34	0.2505342797
35	0.2489043133
36	0.2474379955
37	0.2459672696
38	0.244503047
39	0.2429095739
40	0.2415076306
41	0.2402747034
42	0.239008419
43	0.2374465103
44	0.2363253835
45	0.2353023283
46	0.2339295818
47	0.2329963765
48	0.2318506391
49	0.2308584669
50	0.2299916619
51	0.2290583743
52	0.2282430427
53	0.2274743422
54	0.2267372812
55	0.226006583
56	0.225205721
57	0.224398056
58	0.2237308873
59	0.2230632138
60	0.2224004418
61	0.2217701608
62	0.2211799715
63	0.2205771107
64	0.220053459
65	0.219529073
66	0.2190890931
67	0.218537046
68	0.217725313
69	0.217078553
70	0.2166633359
71	0.216271205
72	0.2158320019
73	0.2153932663
74	0.2147929393
75	0.2143433621
76	0.2139301382
77	0.2135921273
78	0.2131997178
79	0.2126475577
80	0.2123040912
81	0.2120388095
82	0.2117109681
83	0.2112566641
84	0.2107326172
85	0.2102519845
86	0.2097438752
87	0.2094368354
88	0.209224209
89	0.2089176229
90	0.2086638107
91	0.2083285778
92	0.2079394403
93	0.207492627
94	0.2071635989
95	0.2068982799
96	0.2066828545
97	0.2063675272
98	0.2060602383
99	0.2058094112
100	0.2055832766
101	0.2053668699
102	0.2050540243
103	0.2048257353
104	0.2045999335
105	0.2043953501
106	0.2041866246
107	0.203830525
108	0.2035868198
109	0.2034314053
110	0.2033126536
111	0.2031016832
112	0.2029302678
113	0.2027563817
114	0.2025199708
115	0.2023788213
116	0.2021294183
117	0.2018727277
118	0.2016236722
119	0.20149988
120	0.2013181505
121	0.2011570534
122	0.2009682411
123	0.2008350393
124	0.2006592408
125	0.200501299
126	0.2003763622
127	0.2001247484
128	0.1999402073
129	0.1997603627
130	0.1996526351
131	0.1994799586
132	0.1993476562
133	0.1992087592
134	0.1990542188
135	0.1989261198
136	0.198813957
137	0.1986795974
138	0.1984205971
139	0.1981945767
140	0.1980784108
141	0.1979270506
142	0.1978436377
143	0.19772536
144	0.1975890781
145	0.1974738348
146	0.1973254703
147	0.1972590702
148	0.1971021928
149	0.1969723761
150	0.1968421984
151	0.1967107734
152	0.1966034056
153	0.1964370928
154	0.1962794514
155	0.1962023039
156	0.1961039785
157	0.1960094258
158	0.1958964576
159	0.1958095049
160	0.1957044923
161	0.1955811828
162	0.1954131905
163	0.1952818789
164	0.1951827003
165	0.1951135499
166	0.19504793
167	0.194957558
168	0.1948714507
169	0.1947682732
170	0.1945839949
171	0.1944398101
172	0.1943676619
173	0.1942948651
174	0.1941383949
175	0.1940882077
176	0.1939563753
177	0.1938882969
178	0.1937129469
179	0.1936195069
180	0.1935028004
181	0.193374398
182	0.1932998969
183	0.1932388232
184	0.1931324008
185	0.193065968
186	0.1930048753
187	0.19291009
188	0.1927755535
189	0.1926768622
190	0.1925797976
191	0.1925124734
192	0.1924218212
193	0.1922837467
194	0.1922126716
195	0.192140661
196	0.192096364
197	0.1919858028
198	0.1918887992
199	0.1917725602
200	0.1917011285
201	0.1916451033
202	0.1915821562
203	0.1914642523
204	0.1913762866
205	0.191271974
206	0.1912021112
207	0.19111134
208	0.1910187354
209	0.1908594469
210	0.1907666555
211	0.1906053013
212	0.1904952527
213	0.1903909087
214	0.1903367929
215	0.1902533432
216	0.1901413285
217	0.1899912916
218	0.1899102331
219	0.18982679
220	0.1897549636
221	0.1896808465
222	0.1896085867
223	0.1895403585
224	0.1894754415
225	0.1894342509
226	0.1893661322
227	0.1893050428
228	0.1891576227
229	0.1890806659
230	0.188949786
231	0.1888961856
232	0.1887947305
233	0.188742084
234	0.1886734472
235	0.1885795736
236	0.18847872
237	0.1883587845
238	0.1882402343
239	0.1881735192
240	0.188122313
241	0.1880305628
242	0.1879456156
243	0.1878546982
244	0.1877938984
245	0.1876726326
246	0.1876057083
247	0.1875584632
248	0.1874900357
249	0.1874142847
250	0.1873520352
251	0.1872616695
252	0.1871687358
253	0.1871273411
254	0.1870526388
255	0.1869668683
256	0.1869093272
257	0.186817674
258	0.1867431466
259	0.1866269619
260	0.1865994524
261	0.1865225616
262	0.1864188306
263	0.1863707107
264	0.1862748855
265	0.1862041683
266	0.1861463139
267	0.1861126934
268	0.1860583362
269	0.1860074803
270	0.185938479
271	0.18586785
272	0.1857649361
273	0.185680632
274	0.1856170698
275	0.1855578552
276	0.1854842592
277	0.1853978561
278	0.1853473991
279	0.1852548958
280	0.1851442805
281	0.185109897
282	0.1849844491
283	0.1849012545
284	0.1848626345
285	0.1847924443
286	0.184727106
287	0.1846936023
288	0.1846054602
289	0.1845533365
290	0.1844814385
291	0.184376356
292	0.1842934269
293	0.184243833
294	0.1841737134
295	0.1841294992
296	0.1840684591
297	0.1839903305
298	0.1839187213
299	0.1838465143
300	0.1837949072
301	0.1837259613
302	0.1836322053
303	0.1835170129
304	0.1834700805
305	0.1834054658
306	0.1833624492
307	0.1833136419
308	0.1832590556
309	0.1832040599
310	0.1830961238
311	0.1830456642
312	0.1829668429
313	0.1828819065
314	0.1828314818
315	0.1827317263
316	0.182681257
317	0.1825786049
318	0.182506329
319	0.1824064611
320	0.1823039724
321	0.1822057095
322	0.1821651449
323	0.1820900943
324	0.1820309039
325	0.181974502
326	0.1819339651
327	0.1818229818
328	0.1817593664
329	0.1816760837
330	0.1815925946
331	0.1815229207
332	0.1814771224
333	0.181435729
334	0.1813707153
335	0.181288721
336	0.181245613
337	0.1811961881
338	0.181160556
339	0.1810938769
340	0.1810468022
341	0.1809948426
342	0.1809657473
343	0.1808979423
344	0.1808267313
345	0.1807753117
346	0.1807556789
347	0.1806950081
348	0.1806658555
349	0.1806278596
350	0.1805416816
351	0.1804773154
352	0.1804579023
353	0.1803519708
354	0.1802935459
355	0.180224953
356	0.1801749717
357	0.1801130831
358	0.1800823814
359	0.1800085086
360	0.1799340935
361	0.1798757296
362	0.1797990963
363	0.1797554058
364	0.1796839777
365	0.1796297578
366	0.1795768991
367	0.1795000382
368	0.1794376665
369	0.1793814628
370	0.1793128362
371	0.179261512
372	0.1791828554
373	0.1791198514
374	0.1790745563
375	0.1790093322
376	0.1789647737
377	0.178934245
378	0.1789163794
379	0.1788692961
380	0.1788145252
381	0.1787767964
382	0.1787021039
383	0.1786677913
384	0.178581761
385	0.1785183164
386	0.1784620859
387	0.1784200672
388	0.1783809735
389	0.1783500219
390	0.1782840592
391	0.1782447663
392	0.1781786421
393	0.1780918868
394	0.1780463008
395	0.1779912692
396	0.1779666427
397	0.1779304034
398	0.1778787264
399	0.1778325943
400	0.1777784597
401	0.1777182536
402	0.1776870739
403	0.177628848
404	0.1775799719
405	0.1775098742
406	0.1774716594
407	0.1774306395
408	0.1773908094
409	0.1773392171
410	0.1772752217
411	0.1772378128
412	0.1771930512
413	0.1771349279
414	0.1770875644
415	0.1770438821
416	0.1769579226
417	0.1768926014
418	0.1768381983
419	0.1768040201
420	0.1767501101
421	0.1767081536
422	0.17667297
423	0.1766603839
424	0.1766010402
425	0.1765729647
426	0.1765353489
427	0.1764957348
428	0.1764340631
429	0.1763711591
430	0.1763649128
431	0.1763092011
432	0.1762493901
433	0.1762100485
434	0.176159326
435	0.176112234
436	0.1760514448
437	0.1760223851
438	0.1760023744
439	0.1759932794
440	0.1759781183
441	0.1759663125
442	0.1759571529
443	0.1759311172
444	0.1758892059
445	0.1758223096
446	0.1758074093
447	0.1757501883
448	0.1757080307
449	0.175647281
450	0.1755968646
451	0.175513861
452	0.1754400947
453	0.1753827952
454	0.175291554
455	0.1752209734
456	0.1751632101
457	0.1751237597
458	0.1750549702
459	0.1750121075
460	0.1749491555
461	0.1748805219
462	0.1748464745
463	0.1748080833
464	0.1747774628
465	0.1747598283
466	0.1747259348
467	0.1746663844
468	0.1746348893
469	0.1745826415
470	0.1745516137
471	0.1745091965
472	0.1744628919
473	0.174412926
474	0.1743863591
475	0.1743502226
476	0.1743195685
477	0.1742436472
478	0.1742080913
479	0.1741949349
480	0.1741820144
481	0.1741118466
482	0.1740811949
483	0.1740725398
484	0.1739902187
485	0.173960645
486	0.1739274544
487	0.1739121283
488	0.173872404
489	0.1738122406
490	0.1737793591
491	0.1737462212
492	0.1737174029
493	0.1736736133
494	0.1736094947
495	0.173545411
496	0.1735012109
497	0.1734418797
498	0.1734054416
499	0.1733504338
500	0.1733098695
501	0.173290882
502	0.1732685227
503	0.1732090905
504	0.1731635018
505	0.1731124107
506	0.1731020878
507	0.1730712537
508	0.1730443869
509	0.17303828
510	0.1729853305
511	0.17295021
512	0.1728893039
