iter	Passed	Remaining
0	81	81215
1	128	64048
2	179	59733
3	219	54683
4	252	50226
5	285	47368
6	320	45457
7	395	49013
8	425	46883
9	456	45161
10	487	43857
11	520	42815
12	550	41816
13	583	41110
14	614	40384
15	650	39981
16	679	39269
17	732	39938
18	764	39485
19	796	39051
20	826	38511
21	853	37949
22	884	37559
23	914	37173
24	943	36815
25	972	36438
26	1005	36229
27	1033	35874
28	1061	35546
29	1089	35217
30	1116	34890
31	1143	34577
32	1172	34348
33	1203	34196
34	1231	33953
35	1258	33706
36	1286	33487
37	1312	33220
38	1336	32938
39	1362	32689
40	1389	32497
41	1414	32263
42	1439	32033
43	1465	31833
44	1491	31651
45	1517	31475
46	1540	31239
47	1565	31054
48	1590	30862
49	1615	30689
50	1640	30529
51	1666	30384
52	1693	30255
53	1718	30098
54	1744	29973
55	1772	29878
56	1800	29787
57	1827	29688
58	1854	29570
59	1880	29455
60	1904	29320
61	1930	29207
62	1958	29129
63	1987	29064
64	2017	29019
65	2044	28939
66	2075	28899
67	2101	28797
68	2132	28772
69	2150	28575
70	2181	28544
71	2206	28435
72	2234	28378
73	2249	28150
74	2276	28072
75	2292	27872
76	2318	27792
77	2344	27718
78	2371	27645
79	2398	27580
80	2414	27399
81	2441	27336
82	2466	27254
83	2490	27162
84	2523	27160
85	2548	27085
86	2572	26998
87	2599	26941
88	2627	26898
89	2649	26792
90	2674	26716
91	2700	26656
92	2725	26579
93	2752	26524
94	2776	26453
95	2799	26365
96	2821	26261
97	2846	26200
98	2871	26132
99	2896	26072
100	2922	26012
101	2947	25947
102	2971	25876
103	2988	25743
104	3015	25702
105	3032	25576
106	3056	25510
107	3082	25456
108	3106	25395
109	3130	25327
110	3162	25332
111	3186	25266
112	3210	25203
113	3235	25145
114	3259	25083
115	3283	25025
116	3308	24970
117	3333	24916
118	3357	24858
119	3382	24802
120	3406	24746
121	3430	24688
122	3455	24638
123	3466	24491
124	3497	24484
125	3523	24438
126	3542	24348
127	3570	24323
128	3596	24283
129	3621	24233
130	3636	24121
131	3661	24074
132	3686	24033
133	3712	23992
134	3738	23951
135	3762	23900
136	3774	23774
137	3797	23719
138	3822	23674
139	3840	23592
140	3860	23517
141	3885	23480
142	3915	23464
143	3943	23440
144	3957	23335
145	3981	23290
146	4004	23236
147	4027	23184
148	4052	23142
149	4076	23101
150	4099	23047
151	4123	23003
152	4148	22964
153	4168	22900
154	4195	22870
155	4219	22828
156	4244	22790
157	4270	22757
158	4295	22718
159	4320	22683
160	4352	22679
161	4376	22638
162	4401	22602
163	4418	22521
164	4442	22483
165	4466	22441
166	4492	22407
167	4502	22299
168	4527	22260
169	4536	22149
170	4560	22109
171	4572	22010
172	4595	21966
173	4619	21930
